127.0.0.1 - - [29/Jun/2020:08:51:58 +0900] "GET / HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [29/Jun/2020:08:51:59 +0900] "GET /ProjectBoard_Backup1/read.jsp HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [29/Jun/2020:08:52:00 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [29/Jun/2020:08:52:02 +0900] "GET /ProjectBoard_Backup1/list.do HTTP/1.1" 200 13810
0:0:0:0:0:0:0:1 - - [29/Jun/2020:08:52:02 +0900] "GET /ProjectBoard_Backup1/css/codingBooster.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2020:08:52:02 +0900] "GET /ProjectBoard/upload/2020-06-26/KakaoTalk_20200611_091844934.jpg HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [29/Jun/2020:08:52:02 +0900] "GET /ProjectBoard/upload/2020-06-25/KakaoTalk_20200610_1636416931.jpg HTTP/1.1" 404 868
0:0:0:0:0:0:0:1 - - [29/Jun/2020:08:52:02 +0900] "GET /ProjectBoard/upload/2020-06-25/KakaoTalk_20200611_105619608.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2020:08:52:02 +0900] "GET /ProjectBoard/upload/2020-06-25/KakaoTalk_20200610_163641693.jpg HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [29/Jun/2020:08:52:02 +0900] "GET /ProjectBoard/upload/2020-06-23/KakaoTalk_20200611_0918449341.jpg HTTP/1.1" 404 868
0:0:0:0:0:0:0:1 - - [29/Jun/2020:08:52:02 +0900] "GET /ProjectBoard/upload/2020-06-25/KakaoTalk_20200611_091844934.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2020:08:52:05 +0900] "GET /ProjectBoard_Backup1/loginui.do HTTP/1.1" 200 11129
0:0:0:0:0:0:0:1 - - [29/Jun/2020:08:52:07 +0900] "POST /ProjectBoard_Backup1/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2020:08:52:07 +0900] "GET /ProjectBoard_Backup1/mainPage.do HTTP/1.1" 200 13127
